23,How many fingers are on one hand?,4,5,6,10,5,Mathematics,Elementary,2025-06-04 21:32:50.184267
24,What is 20 - 10?,9,10,11,8,10,Mathematics,Elementary,2025-06-04 21:32:50.18504
25,What is the double of 4?,8,6,7,5,8,Mathematics,Elementary,2025-06-04 21:32:50.186187
26,What force pulls objects toward the Earth?,Magnetism,Electricity,Gravity,Friction,Gravity,Physics,Elementary,2025-06-04 21:32:50.186895
27,What do we use to see things?,Hands,Eyes,Ears,Mouth,Eyes,Physics,Elementary,2025-06-04 21:32:50.18757
28,What does a thermometer measure?,Length,Weight,Temperature,Speed,Temperature,Physics,Elementary,2025-06-04 21:32:50.18825
29,Which one is a source of light?,Moon,Mirror,Sun,Book,Sun,Physics,Elementary,2025-06-04 21:32:50.188918
30,What do you call the push or pull on an object?,Speed,Force,Mass,Motion,Force,Physics,Elementary,2025-06-04 21:32:50.189573
31,Which sense helps us hear sound?,Touch,Sight,Hearing,Taste,Hearing,Physics,Elementary,2025-06-04 21:32:50.19022
32,What makes things hot?,Water,Heat,Cold,Light,Heat,Physics,Elementary,2025-06-04 21:32:50.190896
33,What do we call it when an object moves?,Stillness,Sound,Motion,Gravity,Motion,Physics,Elementary,2025-06-04 21:32:50.191617
34,Which of these is a solid?,Juice,Air,Ice,Steam,Ice,Physics,Elementary,2025-06-04 21:32:50.192436
35,Which is faster: a car or a bicycle?,Bicycle,Car,They are equal,None,Car,Physics,Elementary,2025-06-04 21:32:50.193204
36,What tool helps us to see tiny things?,Microscope,Telescope,Clock,Scale,Microscope,Physics,Elementary,2025-06-04 21:32:50.193999
37,Which of these is a gas?,Rock,Water,Air,Ice,Air,Physics,Elementary,2025-06-04 21:32:50.194641
38,What makes a shadow?,Water,Light,Air,Blockage of light,Blockage of light,Physics,Elementary,2025-06-04 21:32:50.195352
39,What happens when you mix red and blue light?,Green,Purple,Yellow,Orange,Purple,Physics,Elementary,2025-06-04 21:32:50.196232
40,Which tool measures how long something is?,Clock,Thermometer,Ruler,Scale,Ruler,Physics,Elementary,2025-06-04 21:32:50.197021
41,Which object is magnetic?,Wood,Plastic,Iron nail,Glass,Iron nail,Physics,Elementary,2025-06-04 21:32:50.197747
42,What happens when two magnets are brought close together?,They explode,They bounce,They attract or repel,They melt,They attract or repel,Physics,Elementary,2025-06-04 21:32:50.198415
43,What do you need to make a shadow?,Light and object,Mirror,Water,Dark room,Light and object,Physics,Elementary,2025-06-04 21:32:50.199572
44,What is sound caused by?,Light,Electricity,Vibrations,Air,Vibrations,Physics,Elementary,2025-06-04 21:32:50.200207
45,Which object would float in water?,Rock,Metal key,Plastic bottle,Coin,Plastic bottle,Physics,Elementary,2025-06-04 21:32:50.200856
46,What does the Sun provide?,Snow,Wind,Heat and light,Water,Heat and light,Physics,Elementary,2025-06-04 21:32:50.201405
47,What happens when you rub your hands together?,They get colder,They stay the same,They heat up,They grow,They heat up,Physics,Elementary,2025-06-04 21:32:50.201928
48,What tool tells us the time?,Scale,Clock,Microscope,Ruler,Clock,Physics,Elementary,2025-06-04 21:32:50.202442
49,Which one is not a source of sound?,Bell,Drum,Book,Radio,Book,Physics,Elementary,2025-06-04 21:32:50.202944
50,What is the opposite of push?,Pull,Drop,Lift,Throw,Pull,Physics,Elementary,2025-06-04 21:32:50.203825
51,What is water made of?,Oxygen only,Hydrogen only,Hydrogen and oxygen,Carbon and oxygen,Hydrogen and oxygen,Chemistry,Elementary,2025-06-04 21:32:50.204398
52,Which of these is not a state of matter?,Solid,Liquid,Gas,Energy,Energy,Chemistry,Elementary,2025-06-04 21:32:50.204928
53,What color is oxygen?,Blue,Red,Colorless,Green,Colorless,Chemistry,Elementary,2025-06-04 21:32:50.205444
54,What do we call everything around us?,Matter,Energy,Air,Dust,Matter,Chemistry,Elementary,2025-06-04 21:32:50.205966
55,Which one is a liquid at room temperature?,Ice,Steam,Water,Salt,Water,Chemistry,Elementary,2025-06-04 21:32:50.206575
56,What happens when you heat ice?,It freezes,It melts,It disappears,It turns into gas directly,It melts,Chemistry,Elementary,2025-06-04 21:32:50.207225
57,What is table salt made of?,Sugar and water,Sand and water,Sodium and chlorine,Oxygen and hydrogen,Sodium and chlorine,Chemistry,Elementary,2025-06-04 21:32:50.207873
58,Which of these is not a chemical change?,Burning wood,Melting ice,Rusting iron,Cooking food,Melting ice,Chemistry,Elementary,2025-06-04 21:32:50.208521
59,Which gas do we breathe in to stay alive?,Nitrogen,Hydrogen,Oxygen,Carbon dioxide,Oxygen,Chemistry,Elementary,2025-06-04 21:32:50.209166
60,What is everything made of?,Cells,Atoms,Lights,Colors,Atoms,Chemistry,Elementary,2025-06-04 21:32:50.20981
61,What is the freezing point of water?,100°C,50°C,0°C,25°C,0°C,Chemistry,Elementary,2025-06-04 21:32:50.21052
62,Which of these is a chemical property?,Color,Shape,Flammability,Size,Flammability,Chemistry,Elementary,2025-06-04 21:32:50.211179
63,Which one is not a mixture?,Salad,Saltwater,Pure water,Air,Pure water,Chemistry,Elementary,2025-06-04 21:32:50.211811
64,Which one is a solid?,Juice,Steam,Ice cube,Milk,Ice cube,Chemistry,Elementary,2025-06-04 21:32:50.212498
65,What happens when water boils?,It freezes,It evaporates,It condenses,It disappears forever,It evaporates,Chemistry,Elementary,2025-06-04 21:32:50.213133
66,What do we call a scientist who studies chemicals?,Biologist,Chemist,Physicist,Doctor,Chemist,Chemistry,Elementary,2025-06-04 21:32:50.215107
67,What is a solution?,A solid,A type of atom,A mixture that looks like one substance,A gas,A mixture that looks like one substance,Chemistry,Elementary,2025-06-04 21:32:50.215694
68,Which of these can dissolve in water?,Sand,Iron,Salt,Plastic,Salt,Chemistry,Elementary,2025-06-04 21:32:50.216315
69,What is the symbol for water?,O2,CO2,H2O,NaCl,H2O,Chemistry,Elementary,2025-06-04 21:32:50.217249
70,What do we call a change that makes something new?,Physical change,Chemical change,State change,Temporary change,Chemical change,Chemistry,Elementary,2025-06-04 21:32:50.217974
71,What happens when you mix vinegar and baking soda?,Nothing,They freeze,They boil,They fizz and make bubbles,They fizz and make bubbles,Chemistry,Elementary,2025-06-04 21:32:50.2188
72,Which one is a gas?,Milk,Oxygen,Juice,Ice,Oxygen,Chemistry,Elementary,2025-06-04 21:32:50.219489
73,Which state of matter takes the shape of its container?,Solid,Liquid,Gas,Both liquid and gas,Both liquid and gas,Chemistry,Elementary,2025-06-04 21:32:50.220098
74,What tool is used to mix chemicals?,Microscope,Flask,Clock,Magnet,Flask,Chemistry,Elementary,2025-06-04 21:32:50.220678
75,What do we call a solid that forms when two liquids are mixed?,Gas,Solution,Precipitate,Dissolve,Precipitate,Chemistry,Elementary,2025-06-04 21:32:50.221712
76,What do all living things need to survive?,"Sunlight, water, and air","Books, pencils, and chairs","Clothes, toys, and TV","Music, dance, and games","Sunlight, water, and air",Biology,Elementary,2025-06-04 21:32:50.222339
77,What do plants use to make their own food?,Soil,Sunlight,Water only,Rocks,Sunlight,Biology,Elementary,2025-06-04 21:32:50.223009
78,Which part of the body helps you to see?,Nose,Eyes,Ears,Hands,Eyes,Biology,Elementary,2025-06-04 21:32:50.223677
79,What is the function of roots in a plant?,To make seeds,To absorb water,To make flowers,To scare animals,To absorb water,Biology,Elementary,2025-06-04 21:32:50.224366
80,What do we call animals that eat only plants?,Carnivores,Herbivores,Omnivores,Predators,Herbivores,Biology,Elementary,2025-06-04 21:32:50.225055
81,Which organ pumps blood through your body?,Lungs,Stomach,Heart,Brain,Heart,Biology,Elementary,2025-06-04 21:32:50.225701
82,What are baby frogs called?,Puppies,Tadpoles,Kittens,Larvae,Tadpoles,Biology,Elementary,2025-06-04 21:32:50.226343
83,Which of these animals is a mammal?,Frog,Shark,Whale,Snake,Whale,Biology,Elementary,2025-06-04 21:32:50.22699
84,What part of a plant is usually green and uses sunlight?,Root,Stem,Leaf,Flower,Leaf,Biology,Elementary,2025-06-04 21:32:50.227636
85,What helps fish breathe underwater?,Nose,Lungs,Gills,Wings,Gills,Biology,Elementary,2025-06-04 21:32:50.228282
86,Which part of the body helps you think?,Heart,Brain,Lungs,Stomach,Brain,Biology,Elementary,2025-06-04 21:32:50.228986
87,Where does a bird lay its eggs?,Cave,Nest,Water,Ground,Nest,Biology,Elementary,2025-06-04 21:32:50.229625
88,What do bees collect from flowers?,Water,Leaves,Pollen,Soil,Pollen,Biology,Elementary,2025-06-04 21:32:50.230292
89,Which one is a reptile?,Cow,Snake,Penguin,Frog,Snake,Biology,Elementary,2025-06-04 21:32:50.230934
90,How many legs does an insect have?,Four,Six,Eight,Ten,Six,Biology,Elementary,2025-06-04 21:32:50.23177
91,What covers a bird’s body?,Fur,Scales,Feathers,Skin,Feathers,Biology,Elementary,2025-06-04 21:32:50.232504
92,What do we call the process of a caterpillar turning into a butterfly?,Photosynthesis,Metamorphosis,Evaporation,Hibernation,Metamorphosis,Biology,Elementary,2025-06-04 21:32:50.233131
93,Which of these is a sense?,Walking,Hearing,Thinking,Eating,Hearing,Biology,Elementary,2025-06-04 21:32:50.233748
94,What do humans use to smell things?,Ears,Eyes,Mouth,Nose,Nose,Biology,Elementary,2025-06-04 21:32:50.234501
95,Which organ helps you breathe?,Heart,Lungs,Brain,Liver,Lungs,Biology,Elementary,2025-06-04 21:32:50.2352
96,What kind of animal lays eggs and has feathers?,Fish,Reptile,Bird,Mammal,Bird,Biology,Elementary,2025-06-04 21:32:50.236044
97,Which part of the plant holds it upright?,Root,Stem,Leaf,Seed,Stem,Biology,Elementary,2025-06-04 21:32:50.236828
98,What do we call animals that eat both plants and meat?,Herbivores,Carnivores,Omnivores,Vegetarians,Omnivores,Biology,Elementary,2025-06-04 21:32:50.237601
99,Which of these grows from a seed?,Rock,Plant,Sand,Water,Plant,Biology,Elementary,2025-06-04 21:32:50.238211
100,Where do fish live?,Air,Land,Trees,Water,Water,Biology,Elementary,2025-06-04 21:32:50.239048
101,What is a computer?,A type of animal,A machine that thinks,A machine that processes information,A kind of food,A machine that processes information,Computer Science,Elementary,2025-06-04 21:32:50.23963
102,Which part of a computer shows you pictures and words?,Mouse,Monitor,Keyboard,Printer,Monitor,Computer Science,Elementary,2025-06-04 21:32:50.240204
103,What do you use to type on a computer?,Mouse,Screen,Keyboard,Speaker,Keyboard,Computer Science,Elementary,2025-06-04 21:32:50.240938
104,What is the mouse used for?,To click and move items on screen,To print,To sing,To clean the screen,To click and move items on screen,Computer Science,Elementary,2025-06-04 21:32:50.241701
105,What do we call the main computer box?,Monitor,Keyboard,CPU,Mouse,CPU,Computer Science,Elementary,2025-06-04 21:32:50.24237
106,What do we call a set of instructions for a computer?,Recipe,Program,Puzzle,Game,Program,Computer Science,Elementary,2025-06-04 21:32:50.243639
107,Which of these is used to draw on a computer?,Paint software,Email,Web browser,File manager,Paint software,Computer Science,Elementary,2025-06-04 21:32:50.244354
108,What is the Internet?,A toy,A food,A network of computers,A drawing tool,A network of computers,Computer Science,Elementary,2025-06-04 21:32:50.245037
109,What do we call someone who writes computer code?,Driver,Chef,Programmer,Artist,Programmer,Computer Science,Elementary,2025-06-04 21:32:50.245733
110,What does a printer do?,Plays music,Displays images,Prints documents,Stores files,Prints documents,Computer Science,Elementary,2025-06-04 21:32:50.246437
111,What does 'clicking' mean on a computer?,Typing fast,Moving the keyboard,Pressing the mouse button,Closing the screen,Pressing the mouse button,Computer Science,Elementary,2025-06-04 21:32:50.24712
112,Which device helps you hear sounds from the computer?,Microphone,Speaker,Monitor,Keyboard,Speaker,Computer Science,Elementary,2025-06-04 21:32:50.247771
113,Which one is an input device?,Monitor,Printer,Mouse,Speaker,Mouse,Computer Science,Elementary,2025-06-04 21:32:50.248448
114,What is coding?,Solving puzzles,Giving instructions to a computer,Drawing pictures,Watching videos,Giving instructions to a computer,Computer Science,Elementary,2025-06-04 21:32:50.249472
115,Which of these is used to store files?,Screen,Flash drive,Speaker,Cable,Flash drive,Computer Science,Elementary,2025-06-04 21:32:50.250143
116,What is a robot?,A kind of toy,A machine that can do tasks,A drawing,A keyboard,A machine that can do tasks,Computer Science,Elementary,2025-06-04 21:32:50.250723
117,What should you do before using a computer?,Wash your hands,Jump,Eat lunch,Sleep,Wash your hands,Computer Science,Elementary,2025-06-04 21:32:50.251358
118,What is a password used for?,To play music,To protect your computer,To turn off the computer,To clean the screen,To protect your computer,Computer Science,Elementary,2025-06-04 21:32:50.252425
119,What is a file?,A kind of game,A way to store data,A printer,A color tool,A way to store data,Computer Science,Elementary,2025-06-04 21:32:50.253115
120,What is an icon on the screen?,A real object,A small picture that represents something,A type of paper,A song,A small picture that represents something,Computer Science,Elementary,2025-06-04 21:32:50.25377
121,Which tool can help you surf the web?,Paint,Notepad,Browser,Calculator,Browser,Computer Science,Elementary,2025-06-04 21:32:50.254405
122,What does 'save' mean on a computer?,Throw away a file,Make a copy of work,Turn off the computer,Clean the screen,Make a copy of work,Computer Science,Elementary,2025-06-04 21:32:50.255034
123,What should you do when you finish using a computer?,Close the lid and walk away,Leave it on,Shut it down properly,Delete all files,Shut it down properly,Computer Science,Elementary,2025-06-04 21:32:50.255663
124,What does a webcam do?,Print pictures,Take pictures and video,Play sounds,Draw cartoons,Take pictures and video,Computer Science,Elementary,2025-06-04 21:32:50.256257
125,What does 'drag and drop' mean?,Lifting the monitor,Moving files on the screen using the mouse,Clicking twice,Opening the keyboard,Moving files on the screen using the mouse,Computer Science,Elementary,2025-06-04 21:32:50.25732
126,What is the value of 3²?,6,9,12,18,9,Mathematics,Middle School,2025-06-04 21:32:50.257925
127,What is 25% of 200?,25,50,75,100,50,Mathematics,Middle School,2025-06-04 21:32:50.258492
128,Solve for x: 2x + 3 = 11,3,4,5,6,4,Mathematics,Middle School,2025-06-04 21:32:50.259156
129,Which number is a prime number?,4,9,11,15,11,Mathematics,Middle School,2025-06-04 21:32:50.259819
130,What is the perimeter of a rectangle with length 5 and width 3?,15,16,18,20,16,Mathematics,Middle School,2025-06-04 21:32:50.260383
131,"What is the median of the set: 3, 7, 9, 10, 15?",7,9,10,15,9,Mathematics,Middle School,2025-06-04 21:32:50.261028
132,"If a triangle has angles of 50° and 60°, what is the third angle?",60°,70°,80°,90°,70°,Mathematics,Middle School,2025-06-04 21:32:50.261712
133,Simplify: (2 + 3) × 4,14,20,24,18,20,Mathematics,Middle School,2025-06-04 21:32:50.262361
134,What is the area of a square with side length 6?,12,24,36,48,36,Mathematics,Middle School,2025-06-04 21:32:50.263007
135,What is the value of π (pi) approximately?,2.14,3.14,4.14,5.14,3.14,Mathematics,Middle School,2025-06-04 21:32:50.26373
136,Which is a rational number?,π,√2,0.75,√3,0.75,Mathematics,Middle School,2025-06-04 21:32:50.264326
137,What is 2/5 + 1/10?,1/2,3/5,7/10,9/10,1/2,Mathematics,Middle School,2025-06-04 21:32:50.264978
138,What is the greatest common factor (GCF) of 18 and 24?,3,6,9,12,6,Mathematics,Middle School,2025-06-04 21:32:50.265661
139,What is 8³?,64,128,512,1024,512,Mathematics,Middle School,2025-06-04 21:32:50.266328
140,Which of these is a linear equation?,y = x²,y = 2x + 3,y = √x,y = 1/x,y = 2x + 3,Mathematics,Middle School,2025-06-04 21:32:50.267135
141,Convert 0.75 to a fraction.,1/2,2/3,3/4,4/5,3/4,Mathematics,Middle School,2025-06-04 21:32:50.268033
142,What is the volume of a cube with side length 4?,16,32,64,128,64,Mathematics,Middle School,2025-06-04 21:32:50.268676
143,Which figure has exactly one pair of parallel sides?,Square,Trapezoid,Rectangle,Rhombus,Trapezoid,Mathematics,Middle School,2025-06-04 21:32:50.269291
144,What is the slope of the line y = 3x + 2?,2,3,5,6,3,Mathematics,Middle School,2025-06-04 21:32:50.269914
145,"What is the next number in the pattern: 2, 4, 8, 16, ...?",18,24,30,32,32,Mathematics,Middle School,2025-06-04 21:32:50.270571
146,"If you flip a coin, what is the probability of getting heads?",1,0,1/2,1/3,1/2,Mathematics,Middle School,2025-06-04 21:32:50.271191
147,What is the square root of 121?,10,11,12,13,11,Mathematics,Middle School,2025-06-04 21:32:50.271832
148,Solve: 3(x - 2) = 9,2,3,4,5,5,Mathematics,Middle School,2025-06-04 21:32:50.272445
149,What is 10% of 500?,10,20,50,100,50,Mathematics,Middle School,2025-06-04 21:32:50.273225
150,What is the decimal form of 1/4?,0.2,0.25,0.3,0.4,0.25,Mathematics,Middle School,2025-06-04 21:32:50.274356
151,What is the force that pulls objects toward the Earth?,Magnetism,Friction,Gravity,Electricity,Gravity,Physics,Middle School,2025-06-04 21:32:50.274969
152,Which unit is used to measure force?,Watt,Newton,Joule,Pascal,Newton,Physics,Middle School,2025-06-04 21:32:50.275562
153,What is the formula for speed?,Speed = Distance × Time,Speed = Distance / Time,Speed = Time / Distance,Speed = Force × Distance,Speed = Distance / Time,Physics,Middle School,2025-06-04 21:32:50.276177
154,Which of the following is a simple machine?,Car,Pulley,Battery,Lightbulb,Pulley,Physics,Middle School,2025-06-04 21:32:50.276831
155,What type of energy does a moving object have?,Potential energy,Kinetic energy,Chemical energy,Thermal energy,Kinetic energy,Physics,Middle School,2025-06-04 21:32:50.277539
156,What do we use to measure temperature?,Thermometer,Barometer,Ruler,Scale,Thermometer,Physics,Middle School,2025-06-04 21:32:50.278253
157,What happens to the particles of matter when heated?,They stop moving,They slow down,They move faster,They disappear,They move faster,Physics,Middle School,2025-06-04 21:32:50.278923
158,Which of these is not a state of matter?,Solid,Liquid,Gas,Energy,Energy,Physics,Middle School,2025-06-04 21:32:50.279722
159,Which of the following is a non-contact force?,Friction,Gravity,Push,Pull,Gravity,Physics,Middle School,2025-06-04 21:32:50.280359
160,What is the standard unit of energy?,Joule,Newton,Meter,Watt,Joule,Physics,Middle School,2025-06-04 21:32:50.281157
161,Sound travels fastest through which medium?,Air,Water,Steel,Vacuum,Steel,Physics,Middle School,2025-06-04 21:32:50.282075
162,What color of light has the highest energy?,Red,Green,Blue,Violet,Violet,Physics,Middle School,2025-06-04 21:32:50.28288
163,What type of energy is stored in a battery?,Thermal energy,Chemical energy,Kinetic energy,Solar energy,Chemical energy,Physics,Middle School,2025-06-04 21:32:50.283703
164,What does a convex lens do to light rays?,Spreads them out,Bends them inward,Reflects them,Absorbs them,Bends them inward,Physics,Middle School,2025-06-04 21:32:50.284414
165,What is inertia?,Force of gravity,Resistance to change in motion,Measure of energy,Speed of an object,Resistance to change in motion,Physics,Middle School,2025-06-04 21:32:50.285045
166,Which tool measures electric current?,Thermometer,Ammeter,Voltmeter,Barometer,Ammeter,Physics,Middle School,2025-06-04 21:32:50.285717
167,What is friction?,A pulling force,A pushing force,A force that opposes motion,A magnetic force,A force that opposes motion,Physics,Middle School,2025-06-04 21:32:50.28641
168,In which direction does heat flow?,Cold to hot,Hot to cold,Upward only,Downward only,Hot to cold,Physics,Middle School,2025-06-04 21:32:50.28702
169,What is the speed of light in vacuum approximately?,"3,000 km/s","30,000 km/s","300,000 km/s","3,000,000 km/s","300,000 km/s",Physics,Middle School,2025-06-04 21:32:50.287628
170,Which planet has the strongest gravity?,Earth,Mars,Jupiter,Venus,Jupiter,Physics,Middle School,2025-06-04 21:32:50.288229
171,Which device converts electrical energy to sound?,Motor,Speaker,Bulb,Battery,Speaker,Physics,Middle School,2025-06-04 21:32:50.289297
172,What is a conductor?,A material that blocks electricity,A material that allows electricity to flow,A magnetic material,An insulator,A material that allows electricity to flow,Physics,Middle School,2025-06-04 21:32:50.289996
173,What is the main source of energy for Earth?,Wind,Coal,The Moon,The Sun,The Sun,Physics,Middle School,2025-06-04 21:32:50.291469
174,Which force slows down a falling object with a parachute?,Gravity,Air resistance,Magnetism,Tension,Air resistance,Physics,Middle School,2025-06-04 21:32:50.292101
175,Which form of energy comes from the vibration of particles?,Light,Sound,Heat,Magnetic,Sound,Physics,Middle School,2025-06-04 21:32:50.293173
176,What is the basic unit of matter?,Atom,Molecule,Cell,Electron,Atom,Chemistry,Middle School,2025-06-04 21:32:50.293899
177,What is H2O commonly known as?,Hydrogen peroxide,Salt,Water,Carbon dioxide,Water,Chemistry,Middle School,2025-06-04 21:32:50.294611
178,Which of the following is a gas at room temperature?,Oxygen,Iron,Mercury,Water,Oxygen,Chemistry,Middle School,2025-06-04 21:32:50.295312
179,What is the chemical symbol for gold?,Ag,Au,Gd,Go,Au,Chemistry,Middle School,2025-06-04 21:32:50.296014
180,What is the pH of a neutral substance like pure water?,0,7,10,14,7,Chemistry,Middle School,2025-06-04 21:32:50.296703
181,Which part of the atom has a negative charge?,Proton,Electron,Neutron,Nucleus,Electron,Chemistry,Middle School,2025-06-04 21:32:50.297394
182,What do we call a substance made of only one type of atom?,Compound,Mixture,Solution,Element,Element,Chemistry,Middle School,2025-06-04 21:32:50.298066
183,Which state of matter has no fixed shape but has a fixed volume?,Solid,Liquid,Gas,Plasma,Liquid,Chemistry,Middle School,2025-06-04 21:32:50.298728
184,Which of these is a physical change?,Burning wood,Melting ice,Rusting iron,Cooking an egg,Melting ice,Chemistry,Middle School,2025-06-04 21:32:50.299476
185,What does the periodic table organize?,Planets,Animals,Elements,Rocks,Elements,Chemistry,Middle School,2025-06-04 21:32:50.300039
186,Which of the following is a mixture?,Salt,Water,Air,Carbon dioxide,Air,Chemistry,Middle School,2025-06-04 21:32:50.300702
187,Which gas do humans breathe in to survive?,Carbon dioxide,Nitrogen,Oxygen,Helium,Oxygen,Chemistry,Middle School,2025-06-04 21:32:50.301404
188,What is the process of a solid changing directly into a gas?,Condensation,Freezing,Sublimation,Evaporation,Sublimation,Chemistry,Middle School,2025-06-04 21:32:50.302073
189,What is table salt made of?,Hydrogen and oxygen,Sodium and chlorine,Carbon and oxygen,Iron and sulfur,Sodium and chlorine,Chemistry,Middle School,2025-06-04 21:32:50.302733
190,What is the smallest part of an element that still has its properties?,Electron,Atom,Molecule,Compound,Atom,Chemistry,Middle School,2025-06-04 21:32:50.303402
191,What do you call a combination of two or more substances that can be separated?,Element,Mixture,Compound,Solution,Mixture,Chemistry,Middle School,2025-06-04 21:32:50.3041
192,Which element is needed for fire to burn?,Carbon,Hydrogen,Oxygen,Nitrogen,Oxygen,Chemistry,Middle School,2025-06-04 21:32:50.304824
193,Which of these is a chemical property?,Color,Melting point,Reactivity,Density,Reactivity,Chemistry,Middle School,2025-06-04 21:32:50.305506
194,How many atoms are in one water molecule?,1,2,3,4,3,Chemistry,Middle School,2025-06-04 21:32:50.306192
195,What kind of change is burning wood?,Physical change,Chemical change,Phase change,No change,Chemical change,Chemistry,Middle School,2025-06-04 21:32:50.306883
196,Which of the following is an example of a compound?,Iron,Air,Water,Helium,Water,Chemistry,Middle School,2025-06-04 21:32:50.30773
197,What is the center of an atom called?,Electron,Shell,Nucleus,Molecule,Nucleus,Chemistry,Middle School,2025-06-04 21:32:50.308413
198,What is the chemical symbol for sodium?,Na,S,So,Sn,Na,Chemistry,Middle School,2025-06-04 21:32:50.309026
199,Which tool is used to measure mass?,Thermometer,Graduated cylinder,Balance,Meter stick,Balance,Chemistry,Middle School,2025-06-04 21:32:50.30965
200,What kind of bond involves sharing electrons?,Ionic bond,Hydrogen bond,Covalent bond,Metallic bond,Covalent bond,Chemistry,Middle School,2025-06-04 21:32:50.310568
201,What is the basic unit of life?,Tissue,Cell,Organ,Organism,Cell,Biology,Middle School,2025-06-04 21:32:50.311172
202,What part of the cell contains genetic material?,Cytoplasm,Membrane,Nucleus,Mitochondria,Nucleus,Biology,Middle School,2025-06-04 21:32:50.311755
203,Which organ system is responsible for transporting blood?,Nervous system,Respiratory system,Digestive system,Circulatory system,Circulatory system,Biology,Middle School,2025-06-04 21:32:50.312295
204,Which of these is a vertebrate?,Worm,Frog,Insect,Spider,Frog,Biology,Middle School,2025-06-04 21:32:50.312834
205,Which process do plants use to make food?,Digestion,Respiration,Photosynthesis,Fermentation,Photosynthesis,Biology,Middle School,2025-06-04 21:32:50.313357
206,What gas do humans breathe in to survive?,Oxygen,Carbon dioxide,Nitrogen,Helium,Oxygen,Biology,Middle School,2025-06-04 21:32:50.313895
207,What part of the plant absorbs water and nutrients?,Stem,Leaves,Roots,Flowers,Roots,Biology,Middle School,2025-06-04 21:32:50.314448
208,Which part of the brain controls breathing and heartbeat?,Cerebellum,Cerebrum,Brain stem,Spinal cord,Brain stem,Biology,Middle School,2025-06-04 21:32:50.314976
209,What organ helps filter waste from the blood?,Liver,Stomach,Heart,Kidney,Kidney,Biology,Middle School,2025-06-04 21:32:50.315507
210,Which group includes animals with feathers?,Mammals,Fish,Reptiles,Birds,Birds,Biology,Middle School,2025-06-04 21:32:50.316094
211,What is the main function of the respiratory system?,Digest food,Pump blood,Remove waste,Exchange gases,Exchange gases,Biology,Middle School,2025-06-04 21:32:50.316659
212,Which body system helps protect against diseases?,Skeletal,Muscular,Immune,Digestive,Immune,Biology,Middle School,2025-06-04 21:32:50.317193
213,What do we call animals that eat only plants?,Carnivores,Omnivores,Herbivores,Scavengers,Herbivores,Biology,Middle School,2025-06-04 21:32:50.317698
214,Which organ produces insulin?,Liver,Pancreas,Stomach,Intestine,Pancreas,Biology,Middle School,2025-06-04 21:32:50.318207
215,What structure do plant cells have that animal cells do not?,Nucleus,Cell wall,Mitochondria,Cytoplasm,Cell wall,Biology,Middle School,2025-06-04 21:32:50.318718
216,What is DNA responsible for?,Carrying oxygen,Breaking down food,Storing genetic information,Providing energy,Storing genetic information,Biology,Middle School,2025-06-04 21:32:50.319216
217,What type of reproduction involves only one parent?,Sexual,Binary,Asexual,Meiosis,Asexual,Biology,Middle School,2025-06-04 21:32:50.320188
